,,0
8_2_1,4_2,0.966492525076034
4_2_1,4_2,0.966437142372106
7,5_1,0.9654804061995228
8_1_2_1,5_3,0.9652034990295896
7_2,5_1,0.9648656531844162
8_2_1_4,7,0.9643516199031038
8_3_1,8_3,0.9638907148350088
8_2_1_4,7_2,0.9633739698147882
2_1_4,2_1,0.9624365457701296
5_3,2_1,0.9622612735376688
5,2,0.9614583314889614
3,2,0.961049074774335
8_1_2_3,4_2,0.9610135592151122
8_2_1_4,3_1,0.956364239700583
8_3,2_1_4_3,0.9559669859411566
3_3,month,0.95504085114904
5_3_2,5_1,0.9550304106091114
5_1,2_1_3,0.9546708656649324
8_2_1_4,3_1_4,0.9545696732507348
8_1_2_1,2_1_3,0.9538202262998566
2_1_4_1,2_1,0.9533721351449748
8_1_2_1,2_1_4_3,0.953112062498344
8_3_1,8_1_1_3,0.9523069041429416
8_1_2_1,2_1_4,0.9520026402815496
8_1_2,4_2,0.9518969516225884
1,month,0.9508088521031856
8_3,2_1_4,0.9500226717353338
8_2_1_4,2_1,0.9493835829112468
8_1_1_3,7,0.9470770632770475
5_1,2_1,0.9466404742223856
8_2_1_4,5_3_2,0.9464470899476222
8_1_1_3,7_2,0.9457632228686657
3_1_1,2_2,0.9456806059747094
3_1_1,2_2_3,0.945343100616818
8_2_1_4,2_1_3,0.9445283330059474
7_3,1_1,0.9439374423183596
8_3_1,5_1,0.9437895907423663
8_3_1,2_1,0.9431226725764305
7,3_1,0.9419516648636672
7_2,3_1,0.9402600967426248
8_1_2_1,2_1_4_1,0.9399824547813628
8_3,8_2_1_4,0.9379411305067096
8_3,8_1_2_1,0.9370975492235056
7_3,5_1,0.936702225651937
8_3,2_1_4_1,0.935413468162246
5_2,4_2,0.9351364341111168
8_3_1,2_1_3,0.934450402400598
5_1,3_1,0.933855178416538
7,3_1_4,0.9324973795862612
8_3_1,7,0.9322261504213012
3_1,1_1,0.93214572837996
5_1,3_1_4,0.9308022592199952
5,3_1_4,0.9307305742791782
8_1_2_1,2_1,0.9307170416116876
7_2,3_1_4,0.9306600628411154
8_3_1,7_2,0.9305852646497464
8_1_2,1,0.9285311274701152
8_1_2_3,1,0.9284787262309616
8_2_1_4,7_3,0.9267112802028612
3_1_4,1_1,0.9259632144790256
4_2_1,1,0.9257204083305438
8_2_1,1,0.9255825241189608
8_1_1,1,0.9254514882556452
5,3_1,0.9240542735041536
8_2_2,4_2_2,0.9235715710179108
8_1_2_2,1,0.9235545214670826
8_2_2,8_1_2_2,0.9226991671032796
8_3_1,1_1,0.918770561123698
8,1,0.9183928832468256
8_3,5_3,0.9170067057649176
