,,0
7,6_3_1,0.3734997096154602
2_1_4_1,1,0.3721173756847519
8_3_1,month,0.3712412975533887
3,2_1,0.3643437422757886
8_3,6_3_2,0.3621424067920556
8_3_1,3,0.3616711456673845
7_3,5_3_1,0.3598035184266736
8_3,2_1_4_2,0.341108736256343
8_2,7_3,0.3312248419654226
4_2,2_1_4,0.3288967572403664
2,1,0.3286653771427283
4,2_1_3,0.3227486121841848
6_3_2,5_3_1,0.3218349597227736
5_3_2_3,2,0.3209963191740606
8_3_1,2,0.3208104296161335
8_3_1,6_3_2,0.3200898024022638
6,4_2,0.3186131552937151
6_3_2,3,0.3117995376137277
2,month,0.3102669939889574
5,2_1_4,0.3090733178217129
8_3,6,0.3050955140496558
8_2,6_3_1,0.2985974081990712
8_3,4,0.2949748743888287
8_3_1,1,0.2938654756235236
4_2,3,0.2932966504872155
3_1,3,0.2849544036950309
8_2_2,2_1_4,0.2781400043708188
2_1_4_3,2_1_3,0.2773834047717169
6_3_2,1,0.2739152765190896
2_1_4_1,2_1_4,0.2728253573787269
5_3_2_3,2_1_4_2,0.2724998862671526
5_3_1,2_2_3,0.261699386930679
8_3_1,8_1_2_1,0.2573620489251491
4_2,2_1_4_3,0.2554604704329732
6_3_2,5_3,0.2541310770975307
5_3_1,2_1_4_3,0.2527285769198577
2_2_3,2_1_4,0.2499999999999929
2_1_4_2,2_1_4_1,0.2472734010666146
6_3_2,2_1_3,0.2465475982550767
5_3,2_2,0.2415336771379159
3_1_4,3,0.239195241479164
6_3_1,2_1_4_1,0.2338264888977506
5_2_3,2_1_4_1,0.2328056464568252
6,5_3_2_3,0.2307186935237499
8_3_1,2_1_4_3,0.2294652592471931
3,2_1_4,0.229137245369341
8_2_2,5_2_3,0.2272993758360461
2_1_4_2,2_1,0.2235296897746462
6,month,0.2224590202999751
8_1_2_1,2_2,0.2206239720481915
5_3,3,0.2175818993782271
6_3_1,3_1,0.2174684931882418
5_3_2_3,2_1_4,0.207363337256116
4_2,month,0.2009929521993328
6_3_1,2_1_4,0.1995876623065819
3,2_1_3,0.1937087375849138
6_3_2,month,0.1777466432481793
6_3_1,5,0.174541034177793
8_1,2_2,0.1711827412189182
6,4,0.1691009721361326
8_1_2_1,2_1,0.1684846062260671
8_2_2,4,0.1683977117416527
7,3,0.1624500357284776
8_1_2,6,0.1613209825750227
6,1,0.156448462596859
8_1_2,6_3_2,0.156139477553678
8_1_2,2_1,0.1557662150828702
6_3_2,2_1,0.155441223981749
6_3_1,2,0.1451420392277169
5_3_1,5,0.1435638785775979
6,2_1_4_1,0.1407074672843134
7_3,2_1_4_3,0.1362815099927671
8_1_2_1,6,0.1299482244918698
3,1_2,0.1196435668715118
7_3,2_2,0.1147057507660348
2_2,2_1_3,0.1140013590104791
6_3_1,3_1_4,0.1074101161518074
8_3,2_1,0.1071989196101421
8_1,2_1,0.1071397705457111
2_2_3,2_1_4_2,0.103602377356601
8_3_1,5_2_3,0.1016802510692081
2_1_4,month,0.0948244397592798
4_2,2_1_3,0.0857492925713172
8_1_2_1,6_3_2,0.0852774272831376
8_1,4,0.0834031409782097
