,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
215,139977,60717.0,0.5212635177240867,专用设备制造业个体工商户数量全国占比,t,行业（个体工商户）,制造业,ValueOntology.PROPORTION_OF_NATION,1.0506053917886846,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
216,141208,60717.0,0.5712240020282131,本年度新增注册橡胶和塑料制品业企业数量,t,行业（企业）,制造业,ValueOntology.DIFF_QUANTITY,1.0176420385599796,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
220,70631,60717.0,0.5249167757399692,多式联运和运输代理业企业数量,t,行业（企业）,交通运输、仓储和邮政业,ValueOntology.QUANTITY,0.8107819303168559,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
223,141497,60717.0,0.5850246439037656,本年度新增注册专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.DIFF_QUANTITY,1.2559604824308053,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
224,138919,60717.0,0.5152493376927018,本年度注销专用设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7259900873848094,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
228,138921,60717.0,0.5715422988796192,本年度注销电气机械和器材制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8274814934016265,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
230,141215,60717.0,0.5199660021950916,本年度新增注册汽车制造业企业数量,t,行业（企业）,制造业,ValueOntology.DIFF_QUANTITY,0.8864294672965676,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
231,140308,60717.0,0.5569851186121897,本年度吊销计算机、通信和其他电子设备制造业企业数量占比,t,行业（企业）,制造业,ValueOntology.PERCENTAGE,1.3293849923084458,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
232,141211,60717.0,0.5980154455166464,本年度新增注册有色金属冶炼和压延加工业企业数量,t,行业（企业）,制造业,ValueOntology.DIFF_QUANTITY,0.970141112434863,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
233,71946,60717.0,0.5434986358546944,制造业企业数量（大类）（上市）,t,行业（上市企业）,制造业（上市）,ValueOntology.QUANTITY,0.8242362688391514,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
235,42583,60717.0,0.5101421031383574,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.6742818187801246,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
236,91785,60717.0,0.511583240499403,专利申请总量(年度),t,专利,申请量,ValueOntology.QUANTITY,0.6345061877593058,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
237,141218,60717.0,0.5586733376035218,本年度新增注册计算机、通信和其他电子设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.DIFF_QUANTITY,0.8701514447806089,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
238,138872,60717.0,0.6179733507427394,本年度注销文教、工美、体育和娱乐用品制造业企业数量,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.8914973554160027,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
242,141216,60717.0,0.5632947049885711,本年度新增注册铁路、船舶、航空航天和其他运输设备制造业企业数量,t,行业（企业）,制造业,ValueOntology.DIFF_QUANTITY,0.8521297408388228,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
243,60707,60717.0,0.518499585688275,第二产业增加值(根据产业占比计算),t,经济,,ValueOntology.DIFF_QUANTITY,0.6626709391731961,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
247,141234,60717.0,0.5690294330732099,本年度新增注册水上运输业企业数量,t,行业（企业）,交通运输、仓储和邮政业,ValueOntology.DIFF_QUANTITY,1.0982349154252302,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
248,63323,60717.0,0.5445107281177002,教育企业数量（大类）,t,行业（企业）,教育,ValueOntology.QUANTITY,0.6222634572664945,新材料产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7503968857114293
