,,0
110792,57173,0.9999999994884822
140489,140462,0.999999999481086
139990,139830,0.9999999994777676
139978,139818,0.9999999994667378
141667,141479,0.9999999994615044
110849,57194,0.9999999994601488
141453,141265,0.9999999994494568
110912,57428,0.9999999994392328
139966,139806,0.9999999994251888
141785,141755,0.9999999994226656
141440,141252,0.9999999994045068
139971,139811,0.9999999993925152
141452,141264,0.9999999993851664
140029,138892,0.9999999993464423
141429,141241,0.9999999993457004
139986,139826,0.9999999993351424
141406,141218,0.9999999993286552
140509,140472,0.9999999993209966
110879,57415,0.9999999993125236
140557,140526,0.9999999993110312
141684,141496,0.999999999307024
140497,140466,0.9999999992863328
110831,57394,0.9999999992714024
140197,138968,0.9999999992708332
139959,138987,0.9999999992524586
70596,63287,0.9999999992195796
110813,57176,0.999999999194026
139961,139801,0.9999999991776376
141438,141250,0.9999999991685448
110825,57390,0.9999999991646404
141717,141527,0.9999999990238184
139981,139821,0.9999999989803208
70597,63312,0.9999999989771804
141686,141497,0.9999999989446188
110777,57166,0.999999998872516
140559,140527,0.9999999988722156
140491,140463,0.99999999887215
110798,57380,0.9999999988401268
70600,63318,0.9999999987644635
139977,139817,0.9999999987618567
140499,140467,0.9999999987426832
141441,141253,0.999999998726145
110933,57446,0.9999999986591956
110939,57454,0.999999998628746
141432,141244,0.9999999986199296
139976,139816,0.9999999985988752
110783,57376,0.9999999984936212
140200,140041,0.9999999984768648
110945,57460,0.9999999983114732
110900,70631,0.9999999982584676
110995,57495,0.9999999975368298
110948,57462,0.9999999964054356
149868,149867,0.9999993797294908
149879,149874,0.999995159234576
149877,149872,0.9999939442372248
149876,149871,0.9999908844514064
42368,42367,0.9998665338982484
149870,149869,0.9997674647928432
154510,65583,0.999656315786442
154523,56098,0.999604519883266
154521,56097,0.9995815175827232
154513,394,0.9995281216560454
154519,56096,0.999509887717382
154517,59081,0.999483342555576
149880,149866,0.999376997683818
149875,149873,0.999044586154644
154515,395,0.9987855178168183
154511,393,0.9984744140137728
154522,56046,0.9981362896991248
42440,42439,0.9980816822506062
154524,59073,0.9980303214444556
154519,154513,0.9972716812260558
56096,394,0.9972569065669412
154519,394,0.9970245382953764
149878,149865,0.9968244879442162
42422,42421,0.9968084261188364
154518,56094,0.9967849377007094
42386,42385,0.9967182408693324
154513,56096,0.9965244186568184
141091,57337,0.9956912906204294
70600,57454,0.9937214536639348
110939,70600,0.9937213938569486
63318,57454,0.9937001671234472
110939,63318,0.9937001017559768
141438,140466,0.9926162431170316
141438,140497,0.9926160996751888
141250,140466,0.9925631865974528
141250,140497,0.9925630360116589
140526,138968,0.9918364423267864
140557,138968,0.991836407385188
140526,140197,0.9918363197790484
140557,140197,0.9918362848463615
141685,139632,0.9914065787296122
141685,139603,0.99140653020235
141524,139632,0.9914064568797992
141524,139603,0.9914064083634024
141775,138991,0.9909543541342852
141750,138991,0.990954332337068
141775,139994,0.9909542583605836
141750,139994,0.9909542365703916
154512,390,0.9905941282664164
154523,154513,0.99056600449662
154513,56098,0.9904854667115286
154516,392,0.990469444509286
56098,394,0.9904548210661912
107720,107331,0.9901252410644776
154514,391,0.9901063258973049
154523,394,0.989665674558653
141752,138885,0.9895610180715242
141779,138885,0.9895609990062328
141752,140004,0.9895609888834882
141779,140004,0.989560969806245
154519,154510,0.9891424226032622
65583,56096,0.989122556275111
154519,65583,0.9889249131103472
141757,139848,0.9888478440889104
141757,140015,0.9888478440889098
141789,140015,0.9888477505424405
141789,139848,0.9888477505424396
154510,56096,0.9886975582149314
65583,394,0.988131023524268
154513,154510,0.9881208701408088
154510,394,0.9879346413498508
154513,65583,0.9877077157862534
141704,139601,0.9870879904563158
141704,139627,0.9870879314083224
141514,139601,0.9870878566408804
141514,139627,0.9870877975827064
154520,56095,0.986583934845783
54194,44759,0.985540263926885
70620,57304,0.9849393091085588
56496,56495,0.982305528901688
154519,56098,0.9809352414493904
154523,154519,0.980743458967303
56098,56096,0.980700116539574
141535,139644,0.980623877095026
141535,139608,0.9806238532474264
141724,139644,0.9806238328324464
141724,139608,0.9806238090917894
141730,139610,0.9804986048308648
141730,139649,0.9804985676937008
141541,139610,0.9804985544396456
141541,139649,0.9804985173106257
154523,56096,0.9796155254236965
149700,149698,0.9788797051555128
56681,56679,0.9783601004985896
149716,149714,0.97703979352178
56539,54207,0.9767605098168514
141775,139776,0.9761866565694132
141750,139776,0.9761865899800768
154510,56098,0.9747166957283168
154523,154510,0.9746176700311864
65583,56098,0.9745295787161103
61582,60811,0.9744545155488126
154523,65583,0.973842032307608
56524,56468,0.97372579704374
140869,140801,0.9736058846329196
56679,56675,0.9735129558810256
140558,140109,0.972840322346476
141244,140491,0.972744446830346
141244,140463,0.9727444006468808
141432,140491,0.972744171660937
141432,140463,0.97274412561303
56097,394,0.9723909444190504
56539,44759,0.972022434209692
154521,394,0.9719169480336894
141756,140013,0.9718648510200688
141787,140013,0.9718648413141696
154521,154513,0.971857086482522
141756,139846,0.97178035830285
141787,139846,0.9717803507674572
154513,56097,0.9714753215321302
56098,56097,0.9695313058041816
154521,56098,0.9694432756789588
149688,149686,0.969334854639928
141759,140021,0.9693288750913206
141759,139854,0.9693287868510267
141793,140021,0.9693287120851404
141793,139854,0.9693286238464636
154523,154521,0.9691944055925428
141462,140038,0.968819745735478
141609,139631,0.9687569533717304
56647,56646,0.9685770927276413
154523,56097,0.968399259831042
65609,65608,0.9679833829940098
140618,140338,0.9673018777169304
139776,138991,0.9656386684241992
139994,139776,0.965638446761292
141344,140498,0.9655717488922684
56097,56096,0.965528587667585
154521,154519,0.9652476318660574
154519,56097,0.9651434345748392
154521,56096,0.964741191581564
141778,139910,0.9647225806044232
141617,139634,0.9642980273722764
141790,139924,0.962955861290435
57339,56099,0.9608986615633952
56539,54194,0.960547386169614
56539,56468,0.9596314351918436
65583,56097,0.9587583926799448
149691,149689,0.958693532370462
154521,154510,0.9586450141838964
149729,149728,0.958633824504386
154521,65583,0.958537389045811
56646,56631,0.958461861758138
154510,56097,0.9582719992038412
141767,139793,0.9579745278151612
141767,139952,0.9579745128055556
141746,139793,0.957885071388562
141746,139952,0.9578850525125402
141628,139646,0.957792309620292
63332,57604,0.9574287217482648
141798,138992,0.9559069485982152
141733,139652,0.9544265148274153
141544,139652,0.9544264533755178
141733,139612,0.9544264459784002
141544,139612,0.9544263845787544
154519,154517,0.9543194254929463
57341,56099,0.9540539829180392
59081,56096,0.9539090236461588
154517,56096,0.9537637751229754
154519,59081,0.9536772667372818
141429,140462,0.9521408211303084
56539,56524,0.9517389023890852
141429,140489,0.9517387028889174
141780,139704,0.9511859395158728
54207,44759,0.950799377548842
141241,140462,0.950530299703412
141241,140489,0.9501472139050128
141462,139601,0.9497928824674712
141462,139627,0.9497928263184816
141761,139011,0.9493918052270054
141797,139011,0.9493917064334528
141761,140024,0.9493916068178316
141797,140024,0.9493915080208662
154515,154510,0.9488670434317054
56209,56196,0.9486260521712884
154515,65583,0.94799365937681
54207,54194,0.9478440806197612
110912,70599,0.9476666047948472
70599,57428,0.9476665814834212
