,index_id1,index_id2,value,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
355,141484,140539.0,0.6585614062110984,本年度新增注册造纸和纸制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.DIFF_QUANTITY,1.349952455409958,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
356,42583,140539.0,0.6130870365782035,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.685882835572532,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
358,91785,140539.0,0.5069450002808874,专利申请总量(年度),t,专利,申请量,ValueOntology.QUANTITY,0.6143351425286773,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
361,60707,140539.0,0.5471289926132246,第二产业增加值(根据产业占比计算),t,经济,,ValueOntology.DIFF_QUANTITY,0.6026484068494552,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
362,110008,140539.0,0.536994487078076,近2年工厂相关兴趣点数量增长,t,POI,近2年兴趣点数量增长,ValueOntology.DIFF_QUANTITY,1.04295739990924,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
365,141481,140539.0,0.5309019254593826,本年度新增注册皮革、毛皮、羽毛及其制品和制鞋业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.DIFF_QUANTITY,1.3064550639403836,本年度注销制造业企业数量全国占比（大类）,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7268782132759356
380,139804,140517.0,0.5845137542175256,造纸和纸制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.967750432442399,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
381,139815,140517.0,0.5971780735115719,金属制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7579533283199028,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
382,139800,140517.0,0.5585293967067124,纺织服装、服饰业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7392801041652418,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
383,138987,140517.0,0.5220677281086201,纺织业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8871955054385274,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
386,139820,140517.0,0.5227969971875152,电气机械和器材制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8674011921160828,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
387,139816,140517.0,0.5060302852863419,通用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8754293297979806,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
388,139817,140517.0,0.6057597127737302,专用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.8031208844279445,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
389,139811,140517.0,0.5084927642235338,橡胶和塑料制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY,0.7503159546195283,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
391,107589,140517.0,0.6136036770034548,每万人产业园区相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6883898917580766,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
392,107640,140517.0,0.7565411807908183,每万人工厂相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.6847416262479803,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
403,91791,140517.0,0.561035279116679,专利授权总量(年度),t,专利,授权量,ValueOntology.QUANTITY,0.6359649598703087,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
408,149666,140517.0,0.5222718223851718,每万人金属制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,0.8297558773815285,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
412,149667,140517.0,0.5197571029620116,每万人通用设备制造业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,1.01142230733555,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
416,149650,140517.0,0.5332911171150914,每万人纺织业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.QUANTITY_PER_CAPITA,0.9676401328692305,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
431,60710,140517.0,0.583611497352437,第二产业占GDP的比重,t,经济,,ValueOntology.PERCENTAGE,0.5582841046627665,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
434,72046,140517.0,0.7557151328181506,公司企业；工厂；此类数据总个数,f,POI,公司企业,ValueOntology.QUANTITY,0.6842160531805269,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
437,111719,140517.0,0.5010627549168511,近2年自行车专卖店相关兴趣点数量增长,t,POI,近2年兴趣点数量增长,ValueOntology.DIFF_QUANTITY,0.5550247014325957,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
438,141484,140517.0,0.6585610420367771,本年度新增注册造纸和纸制品业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.DIFF_QUANTITY,1.349952455409958,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
439,42583,140517.0,0.6130869208357828,商务住宅；产业园区；此类数据总个数,f,POI,商务住宅,ValueOntology.QUANTITY,0.685882835572532,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
441,91785,140517.0,0.5069447954878381,专利申请总量(年度),t,专利,申请量,ValueOntology.QUANTITY,0.6143351425286773,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
444,60707,140517.0,0.547129656208454,第二产业增加值(根据产业占比计算),t,经济,,ValueOntology.DIFF_QUANTITY,0.6026484068494552,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
445,110008,140517.0,0.5369949259555866,近2年工厂相关兴趣点数量增长,t,POI,近2年兴趣点数量增长,ValueOntology.DIFF_QUANTITY,1.04295739990924,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
448,141481,140517.0,0.5309019724559563,本年度新增注册皮革、毛皮、羽毛及其制品和制鞋业个体工商户数量,t,行业（个体工商户）,制造业,ValueOntology.DIFF_QUANTITY,1.3064550639403836,本年度注销制造业企业数量（大类）,t,行业（企业）,制造业,ValueOntology.QUANTITY,0.7268785857858528
453,141407,60772.0,0.5168443312629012,本年度新增注册仪器仪表制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.9349183027488824,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
454,140166,60772.0,0.5010448817212791,本年度注销仪器仪表制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.9899067640634812,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
455,110918,60772.0,0.5457680269336663,互联网和相关服务企业数量全国占比,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PROPORTION_OF_NATION,0.7062663225156343,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
456,141440,60772.0,0.5428801972196489,本年度新增注册专业技术服务业企业数量全国占比,t,行业（企业）,科学研究和技术服务业,ValueOntology.PROPORTION_OF_NATION,0.5721099402413314,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
457,110846,60772.0,0.507220575829225,仪器仪表制造业企业数量全国占比,t,行业（企业）,制造业,ValueOntology.PROPORTION_OF_NATION,0.7624528684051465,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
458,140190,60772.0,0.5517071617295148,本年度注销互联网和相关服务企业数量全国占比,t,行业（企业）,信息传输、软件和信息技术服务业,ValueOntology.PROPORTION_OF_NATION,0.6955707387197416,机器人产业企业数量,t,创新产业（企业）,高端制造产业,ValueOntology.QUANTITY,0.7641116622695109
