frp,lat,lon,grid,occurred_time
5.85,29.453266,106.235338,16674760,2022-07-07
10.38,29.455941,106.230602,16674760,2022-07-07
9.52,29.498247,106.449545,16785505,2022-07-07
6.04,29.367355,105.526892,16314845,2022-07-07
6.97,30.839515,117.78316,22560745,2022-07-07
3.78,29.167734,104.286287,15683605,2022-07-07
6.02,29.308684,104.846954,15971545,2022-07-07
5.18,30.025465,109.448584,18313776,2022-07-07
5.7,29.59093,106.496553,16807663,2022-07-07
5.85,29.613443,106.48779,16807666,2022-07-07
10.68,29.333326,104.81131,15949400,2022-07-07
6.04,29.828315,107.61304,17378001,2022-07-07
3.67,29.811291,107.499016,17322629,2022-07-07
10.06,29.652015,106.450892,16785522,2022-07-07
3.05,29.299284,104.348002,15716842,2022-07-07
9.82,29.779453,107.046672,17090071,2022-07-07
10.94,29.572682,105.748882,16431145,2022-07-07
6.91,29.57201,105.744769,16425608,2022-07-07
5.41,29.792153,107.060656,17095610,2022-07-07
10.8,29.795432,107.059994,17095610,2022-07-07
5.26,29.724069,106.390879,16757845,2022-07-07
12.82,29.63218,105.638364,16370245,2022-07-07
4.81,31.134376,118.179014,22760110,2022-07-07
6.06,31.134103,118.174974,22760110,2022-07-07
4.99,29.456681,104.435421,15761155,2022-07-07
8.21,29.454355,104.421939,15750081,2022-07-07
5.62,30.015294,107.865233,17505372,2022-07-07
2.9,29.512555,104.687102,15888513,2022-07-07
8.07,31.13378,118.17639,22760110,2022-07-07
7.96,29.374245,103.812856,15440000,2022-07-07
5.76,29.393579,103.547805,15307114,2022-07-07
5.01,29.920995,106.49423,16807700,2022-07-07
4.79,30.121575,106.969589,17051350,2022-07-07
6.37,29.722306,104.491092,15788870,2022-07-07
7.7,30.076354,106.593836,16857550,2022-07-07
11.49,29.733833,104.516035,15799945,2022-07-07
4.93,30.120013,106.806445,16968295,2022-07-07
5.48,29.707232,104.302844,15694739,2022-07-07
2.65,29.78206,104.586924,15838710,2022-07-07
3.78,29.781303,104.582544,15833172,2022-07-07
8.44,30.330075,106.931781,17029226,2022-07-07
7.68,29.925182,104.297572,15689226,2022-07-07
6.47,29.842257,103.833295,15451126,2022-07-07
6.47,29.841416,103.828615,15451126,2022-07-07
4.35,29.894752,103.816011,15445595,2022-07-07
9.03,30.345193,106.291378,16702544,2022-07-07
8.81,30.494096,106.894209,17012633,2022-07-07
7.32,30.130898,104.625074,15855359,2022-07-07
9.56,30.01527,103.844431,15456682,2022-07-07
6.09,30.343266,105.483123,16292806,2022-07-07
7.24,30.020653,103.547021,15307184,2022-07-07
7.06,30.018926,103.537413,15301647,2022-07-07
4.48,30.020793,103.526961,15296110,2022-07-07
7.67,30.522429,106.440484,16780082,2022-07-07
3.26,30.047897,103.615093,15340409,2022-07-07
7.11,30.532939,106.442402,16780083,2022-07-07
5.74,29.961736,103.099756,15080161,2022-07-07
3.7,30.536865,106.445707,16785621,2022-07-07
3.7,30.536232,106.441713,16780083,2022-07-07
9.41,30.853744,108.354538,17754631,2022-07-07
2.92,30.079341,103.535361,15301654,2022-07-07
6.5,30.722871,107.208443,17173231,2022-07-07
4.56,30.730932,107.239533,17189843,2022-07-07
3.17,30.73004,107.21109,17173232,2022-07-07
3.17,30.729446,107.207115,17173232,2022-07-07
5.36,30.732135,107.202491,17167695,2022-07-07
5.25,30.741995,107.245474,17189844,2022-07-07
6.06,30.258894,103.878049,15473321,2022-07-07
4.82,30.847063,107.331651,17234152,2022-07-07
8.14,30.290636,103.870529,15473324,2022-07-07
5.15,30.294167,103.869691,15473325,2022-07-07
3.67,30.852292,107.232033,17184320,2022-07-07
5.15,30.297698,103.868862,15473325,2022-07-07
7.3,30.298751,103.854115,15462251,2022-07-07
7.5,30.127497,102.916517,14986050,2022-07-07
6.2,30.836428,106.972486,17051430,2022-07-07
6.93,30.432772,104.35907,15722505,2022-07-07
3.86,30.891735,107.064421,17101269,2022-07-07
4.41,30.416227,104.082358,15578541,2022-07-07
5.17,30.420541,104.086112,15584079,2022-07-07
10.52,30.423207,104.080706,15578542,2022-07-07
5.77,30.406717,103.989098,15534244,2022-07-07
4.77,30.373255,103.741099,15406889,2022-07-07
4.77,30.376805,103.740259,15406890,2022-07-07
6.9,31.083291,107.87365,17511028,2022-07-07
6.09,31.094562,107.834248,17488882,2022-07-07
4.38,30.878252,106.063638,16591864,2022-07-07
6.77,30.551342,103.980815,15528723,2022-07-07
2.41,30.565486,104.039522,15556410,2022-07-07
10.44,30.563851,104.030382,15550873,2022-07-07
8.87,30.583635,103.977916,15528727,2022-07-07
7.54,30.557936,103.811078,15440132,2022-07-07
2.81,30.582122,103.969549,15523190,2022-07-07
7.88,30.557364,103.812246,15440132,2022-07-07
7.31,30.574144,103.885206,15478893,2022-07-07
6.31,30.560887,103.811408,15440132,2022-07-07
5.35,30.581178,103.883548,15478893,2022-07-07
2.97,30.57126,103.828236,15451207,2022-07-07
5.35,30.58469,103.882708,15478894,2022-07-07
2.97,30.574782,103.827397,15451208,2022-07-07
7.29,30.573119,103.818146,15445671,2022-07-07
3.87,30.991188,106.259931,16691542,2022-07-07
4.84,30.576642,103.817317,15445671,2022-07-07
4.84,30.579343,103.811858,15440134,2022-07-07
5.32,30.602858,103.902382,15489970,2022-07-07
8.18,31.188772,107.456984,17300634,2022-07-07
3.44,30.607199,103.906153,15489970,2022-07-07
3.44,30.610701,103.905333,15489971,2022-07-07
3.44,30.609881,103.900712,15489971,2022-07-07
7.57,30.609061,103.896122,15484434,2022-07-07
3.1,30.665286,104.190936,15633939,2022-07-07
6.01,30.614212,103.904483,15489971,2022-07-07
6.01,30.613392,103.899892,15484434,2022-07-07
14.55,30.74283,104.59554,15838816,2022-07-07
5.48,30.640175,103.927081,15501048,2022-07-07
8.28,30.71554,104.04,15556426,2022-07-07
4.54,30.697093,103.877378,15473369,2022-07-07
6.39,30.747492,104.056115,15567504,2022-07-07
6.39,30.746682,104.051584,15561967,2022-07-07
7.2,30.840921,104.424553,15755772,2022-07-07
9.1,30.798627,104.161427,15617343,2022-07-07
12.2,30.79741,104.133691,15606269,2022-07-07
6.46,30.85423,104.439692,15761311,2022-07-07
10.55,30.8283,104.145126,15611809,2022-07-07
8.43,30.822696,104.071341,15573049,2022-07-07
14.35,30.856655,104.279229,15678256,2022-07-07
7.41,30.820187,104.073474,15573049,2022-07-07
9.25,30.836476,104.144638,15611810,2022-07-07
7.36,30.843422,104.143,15611811,2022-07-07
12.35,30.872518,104.205951,15645036,2022-07-07
6.88,30.84537,103.991736,15534293,2022-07-07
5.41,30.892431,104.154783,15617353,2022-07-07
1.06,31.116446,105.325543,16215374,2022-07-07
3.29,30.958942,104.19672,15639509,2022-07-07
3.29,30.962395,104.195901,15639509,2022-07-07
4.95,30.997949,103.782689,15429107,2022-07-07
6.27,31.015516,103.677029,15373739,2022-07-07
12.46,31.029597,103.673611,15373740,2022-07-07
7.41,31.033118,103.672759,15373741,2022-07-07
7.41,31.036638,103.671937,15368204,2022-07-07
13.35,31.035799,103.667275,15368204,2022-07-07
5.99,31.30089,104.720079,15905323,2022-07-07
16.48,31.502862,104.581391,15833364,2022-07-07
8.47,31.558286,103.246355,15152319,2022-07-07
9.53,32.396282,105.773355,16442534,2022-07-07
41.99,33.937711,113.727248,20495789,2022-07-07
8.29,34.031888,108.712416,17937706,2022-07-07
3.93,34.535437,109.020704,18098335,2022-07-07
5.76,34.402732,107.708872,17428343,2022-07-07
6.84,34.402114,107.704534,17422806,2022-07-07
3.57,35.346068,115.990061,21647642,2022-07-07
7.8,35.583472,119.764838,23569007,2022-07-07
9.99,34.487219,107.271532,17206872,2022-07-07
4.7,34.590421,107.35171,17245643,2022-07-07
3.19,36.010068,117.099602,22212490,2022-07-07
5.2,36.011078,117.099622,22212490,2022-07-07
6.2,35.545939,110.487647,18845942,2022-07-07
13.68,35.672441,110.652626,18929011,2022-07-07
13.19,35.018074,104.635567,15861440,2022-07-07
2.69,35.580096,107.537917,17339882,2022-07-07
3.4,36.992247,111.53758,19377655,2022-07-07
4.44,36.537964,107.300299,17218175,2022-07-07
6.58,37.194293,111.664562,19444122,2022-07-07
8.23,36.547436,104.208673,15645668,2022-07-07
5.7,37.571249,112.171953,19704403,2022-07-07
9.92,36.415584,102.871896,14964602,2022-07-07
25.47,36.610936,103.681953,15374362,2022-07-07
12.84,36.625356,103.705832,15390974,2022-07-07
15.75,36.621551,103.559501,15313456,2022-07-07
5.04,37.916737,112.555155,19898236,2022-07-07
8.51,36.532465,101.680355,14355545,2022-07-07
7.43,36.529651,101.652073,14344471,2022-07-07
8.79,37.359347,106.598143,16863898,2022-07-07
6.3,36.805354,101.771212,14405408,2022-07-07
7.76,37.033242,103.02502,15042189,2022-07-07
7.76,37.032459,103.02052,15042189,2022-07-07
9.53,37.03895,103.037582,15047726,2022-07-07
8.26,37.858075,108.417857,17788633,2022-07-07
9.85,37.615443,106.362623,16742113,2022-07-07
20.32,37.762104,106.609193,16869480,2022-07-07
10.35,38.096793,106.649721,16886128,2022-07-07
11.98,37.673707,103.240156,15153000,2022-07-07
5.38,39.466444,118.257022,22799797,2022-07-07
2.28,39.643206,116.678798,21996951,2022-07-07
2.28,39.642967,116.674165,21996951,2022-07-07
4.36,39.678047,116.359901,21836382,2022-07-07
8.99,39.323345,110.162618,18680253,2022-07-07
7.38,39.395961,110.602113,18901741,2022-07-07
6.26,39.404531,110.646783,18923890,2022-07-07
6.74,39.412414,110.487532,18846373,2022-07-07
10.53,39.441335,110.50133,18851913,2022-07-07
7.08,39.44589,110.507111,18851913,2022-07-07
9.53,39.440286,110.449745,18824228,2022-07-07
2.77,39.495614,110.525218,18862993,2022-07-07
4.69,39.187294,106.996697,17063434,2022-07-07
8.18,39.159703,106.661105,16891783,2022-07-07
5.0,39.329432,106.987347,17057912,2022-07-07
7.74,39.345209,107.000379,17068988,2022-07-07
6.54,39.373717,106.925888,17030232,2022-07-07
5.93,39.464567,107.136259,17135445,2022-07-07
9.06,40.487979,106.598462,16864246,2022-07-07
7.18,41.563804,119.245132,23303897,2022-07-07
4.0,42.268314,119.258927,23315050,2022-07-07
7.76,42.872133,120.683236,24040464,2022-07-07
7.24,42.872087,120.674855,24034927,2022-07-07
9.04,42.904995,119.054567,23209917,2022-07-07
3.1,42.901424,119.054597,23209917,2022-07-07
4.33,41.818466,88.880112,7839084,2022-07-07
4.39,43.677698,95.004986,10956622,2022-07-07
7.68,43.68645,95.023795,10967697,2022-07-07
4.47,43.692684,94.992543,10951087,2022-07-07
8.51,43.692949,94.990715,10951087,2022-07-07
3.69,26.756827,83.203575,4941557,2022-07-07
3.79,27.285283,82.606766,4637081,2022-07-07
6.14,29.730338,78.018382,2300739,2022-07-07
4.09,31.057481,73.681768,91624,2022-07-07
14.69,41.379651,86.237931,6488008,2022-07-07
14.69,41.379184,86.232646,6488008,2022-07-07
13.19,41.378292,86.234913,6488007,2022-07-07
13.19,41.382554,86.234284,6488008,2022-07-07
3.43,43.677316,95.010871,10962159,2022-07-07
4.83,43.684133,95.028002,10967697,2022-07-07
9.48,48.122315,92.670809,9766662,2022-07-07
14.85,48.128827,92.706517,9788811,2022-07-07
14.85,48.128755,92.699327,9783274,2022-07-07
9.54,48.134953,92.699287,9783275,2022-07-07
24.11,48.141408,92.727925,9799886,2022-07-07
24.41,48.141341,92.720741,9794349,2022-07-07
9.54,48.141212,92.706397,9788812,2022-07-07
9.54,48.14115,92.699228,9783275,2022-07-07
47.96,48.147606,92.727875,9799887,2022-07-07
30.28,48.147409,92.706347,9788813,2022-07-07
61.53,48.147538,92.720711,9794350,2022-07-07
5.65,20.960911,85.180229,5948646,2022-07-07
5.65,20.960368,85.176516,5948645,2022-07-07
2.71,20.963861,85.016446,5865591,2022-07-07
5.87,21.917587,83.355443,5018536,2022-07-07
8.47,23.680201,86.397134,6569092,2022-07-07
4.49,23.683128,86.392382,6569093,2022-07-07
4.49,23.686627,86.391812,6569093,2022-07-07
4.03,23.716043,86.452123,6596781,2022-07-07
10.83,23.798016,87.048767,6901325,2022-07-07
3.89,23.756452,86.406686,6574638,2022-07-07
6.51,23.765798,86.396565,6569102,2022-07-07
6.65,23.773464,86.392163,6569103,2022-07-07
6.51,23.777514,86.395865,6569103,2022-07-07
5.15,25.767511,93.441991,10157301,2022-07-07
6.28,26.086558,93.672934,10279150,2022-07-07
7.65,26.553623,90.329588,8573806,2022-07-07
2.65,26.077675,84.770831,5738809,2022-07-07
12.24,48.389927,76.978762,1776801,2022-07-07
5.93,48.458473,77.030323,1798957,2022-07-07
1.54,53.150236,77.683891,2131699,2022-07-07
0.71,50.185922,127.417531,27468681,2022-07-07
0.71,50.180005,127.417809,27468680,2022-07-07
1.81,48.086072,123.456092,25452979,2022-07-07
0.71,45.85585,125.438745,26460465,2022-07-07
0.75,45.859529,125.438745,26460465,2022-07-07
1.26,44.194126,124.094388,25773692,2022-07-07
2.08,41.846631,123.75798,25601784,2022-07-07
2.28,41.85068,123.76072,25607321,2022-07-07
2.24,41.168479,122.997325,25214118,2022-07-07
2.24,41.168464,123.005796,25219655,2022-07-07
3.46,41.147681,122.979802,25208579,2022-07-07
2.3,41.140725,122.99694,25214115,2022-07-07
4.12,41.141307,122.997302,25214115,2022-07-07
1.75,40.675738,122.389389,24909528,2022-07-07
1.64,40.323986,122.15213,24787675,2022-07-07
3.44,40.316809,122.142222,24782137,2022-07-07
1.63,40.321322,122.153705,24787675,2022-07-07
4.02,37.487593,129.063996,28308891,2022-07-07
5.04,34.61968,133.842747,30739315,2022-07-07
3.82,34.488874,133.721029,30678393,2022-07-07
1.86,34.489508,133.715682,30678394,2022-07-07
0.73,34.347246,133.844639,30739285,2022-07-07
1.51,33.800123,130.999509,29294067,2022-07-07
3.71,31.440494,121.241656,24321578,2022-07-07
5.29,31.437904,121.241765,24321578,2022-07-07
3.61,22.548976,120.356096,23866554,2022-07-07
5.65,22.542342,120.347995,23866554,2022-07-07
3.61,22.541895,120.355494,23866554,2022-07-07
3.65,22.544555,120.355234,23866554,2022-07-07
3.65,22.537473,120.354593,23866553,2022-07-07
0.95,36.988357,102.087275,14566002,2022-07-07
0.81,36.830369,103.21646,15141832,2022-07-07
0.81,36.830095,103.220417,15141832,2022-07-07
1.43,34.924463,117.534715,22433849,2022-07-07
1.31,36.810485,103.209675,15136293,2022-07-07
0.92,35.74037,112.860491,20053030,2022-07-07
1.36,36.811335,103.209765,15136293,2022-07-07
1.42,36.81106,103.213521,15136293,2022-07-07
3.69,34.413935,119.845192,23607636,2022-07-07
4.17,34.412916,119.849868,23613173,2022-07-07
4.21,34.408766,119.848561,23613173,2022-07-07
4.21,34.407747,119.853247,23613172,2022-07-07
1.48,34.38165,119.79007,23579948,2022-07-07
1.43,35.666972,112.870718,20058559,2022-07-07
2.11,35.666326,112.874903,20058559,2022-07-07
2.16,34.862528,117.447694,22389546,2022-07-07
0.71,36.207545,108.908661,18037614,2022-07-07
2.16,34.857805,117.451965,22389546,2022-07-07
1.83,34.94055,116.810305,22062872,2022-07-07
2.01,35.430709,114.045192,20656528,2022-07-07
1.08,35.434876,113.937502,20601159,2022-07-07
0.79,35.556501,112.989952,20119453,2022-07-07
1.99,35.393781,113.730443,20495951,2022-07-07
1.21,35.763822,111.127044,19167112,2022-07-07
1.03,35.76248,111.128524,19172649,2022-07-07
1.56,35.700756,111.464002,19338752,2022-07-07
1.84,35.700588,111.441522,19327678,2022-07-07
1.84,35.699961,111.445876,19333215,2022-07-07
2.18,35.694543,111.435728,19327678,2022-07-07
2.67,35.377326,113.453131,20351987,2022-07-07
